Alpha,Corr,r2,ztrans2,zc,N2
0.1,EXP:PWOM,-0.89,-1.421925871,0.060780128,323.3712582
0.1,EXP:PWOM,-0.88,-1.375767657,0.060348355,333.8885028
0.1,EXP:PWOM,-0.87,-1.33307963,0.059931822,344.2505242
0.1,EXP:PWOM,-0.86,-1.293344672,0.059528267,354.4980154
0.1,EXP:PWOM,-0.85,-1.256152812,0.059135847,364.6649675
0.1,EXP:PWOM,-0.84,-1.221173518,0.058752997,374.7803783
0.1,EXP:PWOM,-0.83,-1.188136404,0.05837848,384.869379
0.1,EXP:PWOM,-0.82,-1.156817465,0.058011159,394.9542165
0.1,EXP:PWOM,-0.81,-1.127029026,0.057650142,405.0547956
0.1,EXP:PWOM,-0.8,-1.098612289,0.05729462,415.1892622
0.1,EXP:PWOM,-0.79,-1.071431684,0.056943844,425.3743985
0.1,EXP:PWOM,-0.78,-1.045370548,0.05659722,435.6258519
0.1,EXP:PWOM,-0.77,-1.020327758,0.056254179,445.9584603
0.1,EXP:PWOM,-0.76,-0.996215082,0.055914219,456.3864233
0.1,EXP:PWOM,-0.75,-0.972955075,0.055576883,466.9234783
0.1,EXP:PWOM,-0.74,-0.950479381,0.055241763,477.5830349
0.1,EXP:PWOM,-0.73,-0.928727364,0.054908494,488.3782984
0.1,EXP:PWOM,-0.72,-0.907644983,0.054576703,499.3224216
0.1,EXP:PWOM,-0.71,-0.887183863,0.054246076,510.4285359
0.1,EXP:PWOM,-0.7,-0.867300528,0.053916308,521.709886
0.1,EXP:PWOM,-0.69,-0.847955755,0.053587104,533.1799102
0.1,EXP:PWOM,-0.68,-0.829114038,0.05325822,544.852271
0.1,EXP:PWOM,-0.67,-0.810743125,0.052929389,556.7410098
0.1,EXP:PWOM,-0.66,-0.792813632,0.052600365,568.8605727
0.1,EXP:PWOM,-0.65,-0.775298706,0.052270913,581.2258934
0.1,EXP:PWOM,-0.64,-0.758173745,0.051940809,593.8524709
0.1,EXP:PWOM,-0.63,-0.741416144,0.051609839,606.7564406
0.1,EXP:PWOM,-0.62,-0.725005088,0.051277775,619.9546929
0.1,EXP:PWOM,-0.61,-0.708921359,0.050944407,633.4649112
0.1,EXP:PWOM,-0.6,-0.693147181,0.050609548,647.3056532
0.1,EXP:PWOM,-0.59,-0.677666068,0.050272978,661.4965254
0.1,EXP:PWOM,-0.58,-0.662462707,0.049934509,676.0581908
0.1,EXP:PWOM,-0.57,-0.647522845,0.049593913,691.0125917
0.1,EXP:PWOM,-0.56,-0.632833187,0.049251023,706.3829124
0.1,EXP:PWOM,-0.55,-0.618381314,0.048905613,722.1938992
0.1,EXP:PWOM,-0.54,-0.604155603,0.048557484,738.4718716
0.1,EXP:PWOM,-0.53,-0.59014516,0.048206436,755.244923
0.1,EXP:PWOM,-0.52,-0.576339755,0.047852256,772.5431228
0.1,EXP:PWOM,-0.51,-0.562729769,0.047494742,790.398665
0.1,EXP:PWOM,-0.5,-0.549306144,0.047133647,808.8461944
0.1,EXP:PWOM,-0.49,-0.536060337,0.046768773,827.9228742
0.1,EXP:PWOM,-0.48,-0.522984278,0.046399883,847.6688209
0.1,EXP:PWOM,-0.47,-0.510070337,0.046026737,868.1273413
0.1,EXP:PWOM,-0.46,-0.497311288,0.045649092,889.345285
0.1,EXP:PWOM,-0.45,-0.484700279,0.045266704,911.3734122
